,Model,Source,Split,Dataset,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,num_nonzero_coefs,prot_length
622,ESM-2 650M,cellular,Site Split,B3VI55_LIPST_Whitehead2015,3,0.1564428811616469,0.6870960476634143,0.9261449243894808,0.1255426440473976,0.6875840157004923,0.9026477342744844,0.4078610822616689,0.3771964036957766,37,439
623,ESM-2 650M,cellular,Site Split,B3VI55_LIPST_Whitehead2015,4,0.1754898393168374,0.6783230953022326,0.9080390330762622,0.123840395740094,0.6973528680230674,0.9359380618450066,0.4271340916724907,0.3940865128264326,56,439
624,ESM-2 650M,cellular,Site Split,B3VI55_LIPST_Whitehead2015,5,0.1473641450473745,0.6929952333698269,0.9335846932287332,0.0991966615999344,0.6888763647816876,0.9060786070509262,0.4018081411759009,0.3443022170105839,30,439
625,ESM-2 650M,cellular,Site Split,GAL4_YEAST_Shendure2015,1,0.4712050036555565,0.5992047579116198,0.7292061602131432,0.267898434848298,0.7071282688401591,0.8453240363203296,0.7453596432677423,0.5557120259358368,51,881
626,ESM-2 650M,cellular,Site Split,GAL4_YEAST_Shendure2015,2,0.4950262522552857,0.5848009901845984,0.7176974450185419,0.0884672940842795,0.744787712917501,0.9089558197278808,0.7452566110055464,0.5063326074148228,50,881
627,ESM-2 650M,cellular,Site Split,GAL4_YEAST_Shendure2015,3,0.4634101991550235,0.5975694337081269,0.7316336279144983,0.1721687440179073,0.7637309646811171,0.912726772148718,0.7305199821641325,0.5122500895454185,47,881
628,ESM-2 650M,cellular,Site Split,GAL4_YEAST_Shendure2015,4,0.5975905243520563,0.5066803869736753,0.6359894896727961,-0.0808290857525375,0.8466419546220701,1.0231883607384242,0.7943193516146366,0.2870255091794517,121,881
629,ESM-2 650M,cellular,Site Split,GAL4_YEAST_Shendure2015,5,0.5260753373596789,0.5510006052568903,0.6849388649797309,0.1119850012575833,0.8131277683315484,0.9422666823809132,0.7677792691893349,0.3982464475662813,73,881
630,ESM-2 650M,cellular,Site Split,SUMO1_HUMAN_Roth2017,1,0.4861889596954541,0.5504224888518642,0.7088988345127393,0.2653943248051621,0.7026851785028957,0.878550947293656,0.7107519740379119,0.6049025300551792,102,101
631,ESM-2 650M,cellular,Site Split,SUMO1_HUMAN_Roth2017,2,0.5763579095344449,0.5020945494901845,0.6478984603188623,0.2864034088863479,0.6783851802686317,0.858479480274625,0.7750110512598479,0.5402160711477116,165,101
632,ESM-2 650M,cellular,Site Split,SUMO1_HUMAN_Roth2017,3,0.5202771547287952,0.5357437390495922,0.6838252191369741,0.3623567230866982,0.6630322573914335,0.8370568446032102,0.7326700607264991,0.6663889310537923,121,101
633,ESM-2 650M,cellular,Site Split,SUMO1_HUMAN_Roth2017,4,0.5226795762063339,0.5344043426514301,0.6847947960904447,0.2821622585271581,0.6978525479906605,0.8753439874198561,0.7329763505626674,0.5609170461218832,130,101
