,Dataset,Source,Model,R2
199,SARS2_PLPRO_activity_Wu,Viral,R2_site+mut,0.7262
200,SARS2_BA1_SPIKE_Dadonaite,Viral,R2_site+mut,0.4674
201,SARS2_RBD_expression_Starr,Viral,R2_site+mut,0.749
202,TIM_THETH,Cellular,R2_site+mut,0.5578
203,TIM_THEMA,Cellular,R2_site+mut,0.4836
204,MK01_HUMAN_Johannessen,Cellular,R2_site+mut,0.2861
205,IF1_ECOLI,Cellular,R2_site+mut,0.5903
206,TIM_SULSO,Cellular,R2_site+mut,0.5257
207,RL401_YEAST_Fraser2016,Cellular,R2_site+mut,0.5154
208,RASH_HUMAN_Kuriyan,Cellular,R2_site+mut,0.5948
209,MTH3_HAEAESTABILIZED_Tawfik2015,Cellular,R2_site+mut,0.5813
210,AMIE_PSEAE_Whitehead,Cellular,R2_site+mut,0.5166
211,TPMT_HUMAN_Fowler2018,Cellular,R2_site+mut,0.4886
212,PTEN_HUMAN_Fowler2018,Cellular,R2_site+mut,0.6048
213,BG_STRSQ_hmmerbit,Cellular,R2_site+mut,0.4271
214,DLG4_RAT_Ranganathan2012,Cellular,R2_site+mut,0.5979
215,TPK1_HUMAN_Roth2017,Cellular,R2_site+mut,0.1723
216,GAL4_YEAST_Shendure2015,Cellular,R2_site+mut,0.5211
217,UBE4B_MOUSE_Klevit2013_singles,Cellular,R2_site+mut,0.4153
218,PABP_YEAST_Fields2013_singles,Cellular,R2_site+mut,0.6553
219,HSP82_YEAST_Bolon2016,Cellular,R2_site+mut,0.6765
220,BLAT_ECOLX_Ostermeier2014,Cellular,R2_site+mut,0.6053
221,BRCA1_HUMAN_RING,Cellular,R2_site+mut,0.6094
222,KKA2_KLEPN_Mikkelsen2014,Cellular,R2_site+mut,0.5319
223,UBC9_HUMAN_Roth2017,Cellular,R2_site+mut,0.4276
224,PABP_YEAST_Fields2013_doubles,Cellular,R2_site+mut,0.3335
225,BLAT_ECOLX_Tenaillon2013,Cellular,R2_site+mut,0.6964
226,SUMO1_HUMAN_Roth2017,Cellular,R2_site+mut,0.3676
227,CALM1_HUMAN_Roth2017,Cellular,R2_site+mut,0.1464
228,parEparD_Laub2015_all,Cellular,R2_site+mut,0.183
229,BLAT_ECOLX_Ranganathan2015,Cellular,R2_site+mut,0.7014
230,BRCA1_HUMAN_BRCT,Cellular,R2_site+mut,0.5033
231,YAP1_HUMAN_Fields2012_singles,Cellular,R2_site+mut,0.6091
232,B3VI55_LIPST_Whitehead2015,Cellular,R2_site+mut,0.2705
233,B3VI55_LIPSTSTABLE,Cellular,R2_site+mut,0.4354
234,RL401_YEAST_Bolon2013,Cellular,R2_site+mut,0.5773
235,RL401_YEAST_Bolon2014,Cellular,R2_site+mut,0.5871
236,BLAT_ECOLX_Palzkill2012,Cellular,R2_site+mut,0.5307
