,Dataset,Source,Split,R2_AVG,R2_ESM2_3B_Sawhney,R2_ESM2_650M,R2_ESM2_CRVDB,R2_ESM2_URVDB,R2_ESMC_600M
56,SARS2_BA1_SPIKE_Dadonaite,viral,pool_split,0.23083454288586794,0.30850576041220934,0.25295645306510306,0.30015453817410004,0.31052830916163743,0.22797956632356872
57,SARS2_DELTA_SPIKE_Dadonaite,viral,pool_split,-0.23176102990050265,0.024508376524635538,0.0250482656483672,0.0320571159156492,0.03933703586976696,0.0081060256397105
58,SARS2_MRPO_Flynn,viral,pool_split,0.6645724825047467,0.6669970059290042,0.4697359693778849,0.5547091362112044,0.5403810634827938,0.20437483427446818
59,SARS2_PLPRO_abundance_Wu,viral,pool_split,0.43989168704435605,0.3877430356435215,0.3626805371223457,0.37610183521148544,0.3747119445460068,0.32556509356485724
60,SARS2_PLPRO_activity_Wu,viral,pool_split,0.6070928041595779,0.5785899105731765,0.47694591277479204,0.5392198980121796,0.5389943925225193,0.4328331323989344
61,SARS2_PRD0038_RBD_Starr,viral,pool_split,0.5914296864543611,0.44047761999352836,0.4705595249959419,0.5205553661675877,0.5176809027719476,0.4377164835043206
62,SARS2_RBD_binding_Starr,viral,pool_split,0.6135464713458002,0.642901604100356,0.5785447401116277,0.6204829109331587,0.6560528754414667,0.549352772353804
63,SARS2_RBD_expression_Starr,viral,pool_split,0.6950232014663101,0.6302940455217625,0.5744326187651452,0.5793417592734835,0.627369057705445,0.46223108569575955
64,SARS2_XBB15_RBD_Taylor,viral,pool_split,0.629745931652599,0.4969967632265391,-0.19676412258599213,0.5669543209939107,0.5845054272649438,0.2971891921008236
65,SUMO1_HUMAN_Roth2017,cellular,pool_split,0.2518873823956261,0.41191101860747875,0.4097192624401675,0.3957656701352258,0.39281851000286394,0.40622735354466977
66,TIM_SULSO,cellular,pool_split,0.3968125834932185,0.578995225082728,0.5743655646222677,0.5575674058014181,0.555910617568356,0.6339477204018278
67,TIM_THEMA,cellular,pool_split,0.3867196081779592,0.5497377391600555,0.5799652222389271,0.5191661745520377,0.5398898777145169,0.539165271395779
68,TIM_THETH,cellular,pool_split,0.4830594416104963,0.6667169260793868,0.6582579213947206,0.6303274232457655,0.6230217208252233,0.6883549640165116
69,TPK1_HUMAN_Roth2017,cellular,pool_split,-0.028948600990812732,0.1150934111600151,0.12937352025652923,0.10368358331212843,0.10993287849251683,0.17476712808272238
70,TPMT_HUMAN_Fowler2018,cellular,pool_split,0.2294634520245217,0.48956025252586005,0.45801639943905653,0.4458064538909391,0.4242974845381194,0.5639805712998937
71,UBC9_HUMAN_Roth2017,cellular,pool_split,0.32916196725813146,0.4310489002520349,0.40343821311668854,0.39021130245024216,0.3875505268710767,0.36515228254483206
72,UBE4B_MOUSE_Klevit2013_singles,cellular,pool_split,0.11562532904018828,0.2097431493908116,0.24009335149466712,0.20506335708676918,0.21722499697672717,0.27300252213423065
73,YAP1_HUMAN_Fields2012_singles,cellular,pool_split,0.357714939458452,0.42712499063970866,0.45392373014952236,0.4373263649790483,0.4383476405552513,0.5291305450480895
